SessionIdentity,hour_num,stage,BG_psd,key2_psd,key3_psd,n_epoch
02L_04-28-22,1.0,N1,0.0006421917,0.08167817,0.022062637,42
02L_04-28-22,1.0,N2,0.0006547873,0.12335903,0.04182486,839
02L_04-28-22,1.0,N3,0.0007164587,0.16933575,0.059454456,874
02L_04-28-22,2.0,N1,0.00046504394,0.042652834,0.0141874,258
02L_04-28-22,2.0,N2,0.0005712852,0.10251224,0.033875212,729
02L_04-28-22,2.0,N3,0.0006749314,0.18361512,0.068115324,221
02L_04-28-22,2.0,REM,0.00052884466,0.044721663,0.012367437,292
02L_04-28-22,3.0,N2,0.00044807928,0.071988024,0.025838524,53
02L_04-29-22,0.0,N1,0.0017493375,0.025352597,0.00914157,280
02L_04-29-22,0.0,N2,0.0020195246,0.10133777,0.033881895,680
02L_04-29-22,0.0,N3,0.0019616594,0.166293,0.061309576,55
02L_04-29-22,1.0,N3,0.0021334284,0.16109158,0.059823614,241
02L_04-29-22,2.0,N1,0.0014482295,0.0246906,0.007785141,246
02L_04-29-22,2.0,N2,0.0018084014,0.07917922,0.024727589,479
02L_04-29-22,2.0,REM,0.0014596124,0.028069912,0.0098970225,352
02L_04-29-22,3.0,N1,0.0015559442,0.03775228,0.013050015,55
02L_04-29-22,3.0,N2,0.0018403508,0.13534293,0.046293583,878
02L_04-29-22,3.0,N3,0.0020098034,0.15913811,0.068939164,57
02L_04-29-22,3.0,REM,0.001953657,0.047480594,0.0145137375,741
02L_04-29-22,4.0,N1,0.0023004604,0.029455245,0.013131057,42
02L_04-29-22,4.0,N2,0.0024801334,0.12559898,0.043572433,1586
02L_04-29-22,4.0,N3,0.0030923602,0.1850624,0.07394131,85
02L_04-29-22,5.0,N1,0.0020221772,0.03285156,0.013316749,14
02L_04-29-22,5.0,N2,0.002637826,0.09475609,0.03100196,342
02L_04-29-22,5.0,REM,0.0023991119,0.045062244,0.013667658,1326
02L_04-29-22,6.0,N1,0.0021751046,0.060386535,0.0214807,43
02L_04-29-22,6.0,N2,0.002255862,0.09975188,0.03155922,1429
02L_04-29-22,6.0,REM,0.0019655,0.043616656,0.013251746,173
02L_04-29-22,7.0,N1,0.0024271992,0.029409802,0.009810977,175
02L_04-29-22,7.0,N2,0.0029384876,0.06744493,0.020488944,681
02L_04-29-22,7.0,REM,0.0029478525,0.041087028,0.012338226,605
02L_04-29-22,8.0,N1,0.0020188855,0.04408747,0.014800868,68
02L_04-29-22,8.0,N2,0.0023588121,0.08435932,0.026072832,374
02L_04-29-22,8.0,REM,0.0025085658,0.026289085,0.00786685,13
02L_04-30-22,0.0,N1,0.0019779478,0.046389088,0.0153781995,155
02L_04-30-22,0.0,N2,0.0020617475,0.121945605,0.03946367,476
02L_04-30-22,0.0,N3,0.0023155431,0.17606805,0.06595735,803
02L_04-30-22,1.0,N1,0.0015886067,0.038849235,0.010940167,161
02L_04-30-22,1.0,N2,0.0019159816,0.094860524,0.032237332,943
02L_04-30-22,1.0,N3,0.0023209562,0.1607474,0.06465339,324
02L_04-30-22,1.0,REM,0.0018444941,0.055635843,0.016737051,238
02L_04-30-22,2.0,N1,0.0019365237,0.06880297,0.022605155,113
02L_04-30-22,2.0,N2,0.0021303443,0.12274778,0.042326264,993
02L_04-30-22,2.0,N3,0.0025156937,0.18898651,0.074290745,152
02L_04-30-22,2.0,REM,0.0017531221,0.039024033,0.01250378,178
02L_04-30-22,3.0,N1,0.0013586791,0.02647473,0.008642038,264
02L_04-30-22,3.0,N2,0.0018381806,0.10049363,0.034780588,1235
02L_04-30-22,3.0,REM,0.001766165,0.026633034,0.009228959,28
02L_04-30-22,4.0,N1,0.0020181655,0.038908474,0.01121932,140
02L_04-30-22,4.0,N2,0.0021778778,0.14614975,0.053586483,244
02L_04-30-22,4.0,REM,0.0019537956,0.046346374,0.014990501,1221
02L_04-30-22,5.0,N1,0.001541029,0.028535303,0.010382945,101
02L_04-30-22,5.0,N2,0.0016753324,0.07645042,0.02261257,104
02L_04-30-22,5.0,REM,0.0016624177,0.043882683,0.0129491985,336
02L_05-03-22,0.0,N1,0.0009482575,0.030295786,0.011666388,268
02L_05-03-22,0.0,N2,0.0010433486,0.0568579,0.019413814,906
02L_05-03-22,0.0,N3,0.0011462074,0.13680798,0.04292911,162
02L_05-03-22,1.0,N1,0.0009681085,0.043534145,0.016522722,128
02L_05-03-22,1.0,N2,0.0011291117,0.10648756,0.035073053,979
02L_05-03-22,1.0,N3,0.0011463171,0.1678368,0.061386447,531
02L_05-03-22,2.0,N1,0.0009879202,0.036079187,0.013307439,175
02L_05-03-22,2.0,N2,0.008542361,0.112934664,0.03942956,1231
02L_05-03-22,2.0,REM,0.0010539885,0.037760265,0.0103070345,43
02L_05-03-22,3.0,N1,0.00087941653,0.061823912,0.022366695,115
02L_05-03-22,3.0,N2,0.004216032,0.12352233,0.040099222,1081
02L_05-03-22,3.0,N3,0.0013268907,0.16540466,0.06321383,533
02L_05-03-22,4.0,N1,0.0010200519,0.042632084,0.013071997,204
02L_05-03-22,4.0,N2,0.0009990372,0.12070125,0.04133133,442
02L_05-03-22,4.0,REM,0.0009818426,0.044107545,0.013620557,827
02L_05-03-22,5.0,N1,0.0015928504,0.041038573,0.015413753,72
02L_05-03-22,5.0,N2,0.0009425661,0.091856316,0.027981201,209
02L_05-03-22,5.0,REM,0.0009745689,0.04499462,0.01380995,552
02L_05-04-22,0.0,N1,0.0011830527,0.033012718,0.010041239,87
02L_05-04-22,0.0,N2,0.0013009978,0.08374276,0.027505904,296
02L_05-04-22,0.0,N3,0.001340159,0.16185516,0.061634354,1111
02L_05-04-22,1.0,N1,0.001058666,0.02771585,0.011446702,44
02L_05-04-22,1.0,N2,0.001345144,0.11731642,0.03807132,840
02L_05-04-22,1.0,N3,0.0014720509,0.20121196,0.07339727,577
02L_05-04-22,1.0,REM,0.0012845623,0.057591412,0.016844315,308
02L_05-04-22,2.0,N1,0.0008797393,0.03990058,0.01286107,74
02L_05-04-22,2.0,N2,0.0011574139,0.099464335,0.034189492,1115
02L_05-04-22,2.0,N3,0.0012097488,0.1454958,0.04777678,290
02L_05-04-22,3.0,N1,0.0009445464,0.051192656,0.013838401,57
02L_05-04-22,3.0,N2,0.0010863531,0.11107129,0.038165566,914
02L_05-04-22,3.0,N3,0.0011468079,0.14552468,0.05145915,91
02L_05-04-22,3.0,REM,0.0008615201,0.039266698,0.011534818,596
02L_05-04-22,4.0,N1,0.00085302873,0.02425944,0.0094110975,333
02L_05-04-22,4.0,N2,0.0010683534,0.056085117,0.017297795,317
